Fragmento;Codigo;Categoria;Requisito_derivado;ID_evidencia;Analista_codificador
La supervision se organiza por equipos: administracion, polinizacion, fitosanitario, riego y labores;EQUIPOS_TRABAJO;Organizacion del trabajo;RF-03;EV-01;VER
El administrador recorre y verifica el cumplimiento de cada equipo;SUPERVISION_RECORRIDO;Organizacion del trabajo;RF-15;EV-01;VER
El recorrido completo de la plantacion toma una semana;LATENCIA_INSPECCION;Deteccion de afectaciones;RF-30;EV-01;VER
El control fitosanitario se hace por monitoreo visual diario;MONITOREO_VISUAL;Deteccion de afectaciones;RF-05;EV-01;VER
Las plagas se identifican por signos visibles en la planta;SIGNO_VISIBLE_PLAGA;Deteccion de afectaciones;RF-07;EV-01;VER
Los defoliadores son la plaga mas frecuente del cultivo;PLAGA_DEFOLIADOR;Deteccion de afectaciones;RF-09;EV-01;VER
La pudricion de flecha aparece como enfermedad recurrente;ENFERMEDAD_FLECHA;Deteccion de afectaciones;RF-07;EV-01;VER
El control combina producto quimico y trampas segun la etapa del insecto;CONTROL_POR_ETAPA;Tratamiento;RF-09;EV-01;VER
Los problemas fitosanitarios se intensifican en epoca invernal;ESTACIONALIDAD_PLAGA;Clima;RF-17;EV-01;VER
El riego y la nutricion son los factores mas determinantes de la productividad;FACTOR_PRODUCTIVIDAD;Manejo del cultivo;RF-04;EV-01;VER
La acumulacion de flechas indica que la palma no recibe agua;INDICADOR_DEFICIT_HIDRICO;Manejo del cultivo;RF-05;EV-01;VER
La estimacion de produccion se hace con censo de flores cada seis meses;CENSO_FLORES;Estimacion;RF-18;EV-01;VER
El rendimiento depende de la variedad de palma sembrada;RENDIMIENTO_POR_VARIEDAD;Estimacion;RF-10;EV-01;VER
El clima se registra con pluviometro y estaciones meteorologicas;REGISTRO_CLIMA;Clima;RF-17;EV-01;VER
Interes alto en identificar plagas a partir de fotografia;DIAGNOSTICO_POR_IMAGEN;Tecnologia;RF-07;EV-01;VER
El sistema seria util sobre todo para personal sin conocimiento especializado;USUARIO_NO_EXPERTO;Tecnologia;RNF-16;EV-01;VER
El desempeno se evalua por rendimiento y produccion;EVALUACION_DESEMPENO;Organizacion del trabajo;RF-16;EV-01;VER
Se cuenta el numero de flores polinizadas por trabajador;CONTEO_FLORES;Polinizacion;RF-14;EV-01;VER
